Timestamp,Drip Interval (s),Error (s),Film Thickness (m),Error (m),Temperature (degC),Error (degC),pCO2 (atm),Error (atm),cCa (mol/m3),Error (mol/m3),,,,
01/29/2000 00:00:00,15.07131859,0.1,0.0001,0.00005,5.7,0.2,0.000534048,0.00003,1.210034756,0.01,,,,
03/27/2000 00:00:00,21.54037656,0.1,0.0001,0.00005,5.7,0.2,0.000590349,0.00003,1.222887109,0.01,,,,
05/27/2000 00:00:00,15.94560664,0.1,0.0001,0.00005,5.7,0.2,0.000710992,0.00003,1.355991083,0.01,,,,
07/24/2000 00:00:00,14.79067469,0.1,0.0001,0.00005,5.7,0.2,0.001268633,0.00003,1.42581266,0.01,,,,
09/20/2000 00:00:00,25.99476791,0.1,0.0001,0.00005,5.7,0.2,0.001346381,0.00003,1.356397898,0.01,,,,
11/22/2000 00:00:00,27.50272588,0.1,0.0001,0.00005,5.7,0.2,0.001271314,0.00003,1.502158352,0.01,,,,
01/19/2001 00:00:00,46.55294591,0.1,0.0001,0.00005,5.7,0.2,0.000558177,0.00003,1.306178797,0.01,,,,
03/15/2001 00:00:00,29.65028017,0.1,0.0001,0.00005,5.7,0.2,0.00070563,0.00003,1.350687416,0.01,,,,
04/13/2001 00:00:00,23.66298987,0.1,0.0001,0.00005,5.7,0.2,0.000515282,0.00003,1.249525985,0.01,,,,
05/12/2001 00:00:00,29.09816057,0.1,0.0001,0.00005,5.7,0.2,0.000820912,0.00003,1.306585612,0.01,,,,
06/05/2001 00:00:00,29.65028017,0.1,0.0001,0.00005,5.7,0.2,0.000976408,0.00003,1.363630172,0.01,,,,
07/06/2001 00:00:00,33.81984856,0.1,0.0001,0.00005,5.7,0.2,0.000976408,0.00003,1.332094445,0.01,,,,
08/09/2001 00:00:00,43.18114038,0.1,0.0001,0.00005,5.7,0.2,0.00109437,0.00003,1.357512874,0.01,,,,
09/05/2001 00:00:00,65.2959048,0.1,0.0001,0.00005,5.7,0.2,0.001306166,0.00003,1.294335948,0.01,,,,
10/06/2001 00:00:00,65.2959048,0.1,0.0001,0.00005,5.7,0.2,0.001244504,0.00003,1.465303889,0.01,,,,
12/06/2001 00:00:00,69.08372396,0.1,0.0001,0.00005,5.7,0.2,0.000603753,0.00003,1.256667855,0.01,,,,
01/12/2002 00:00:00,53.09945039,0.1,0.0001,0.00005,5.7,0.2,0.000574263,0.00003,1.073284511,0.01,,,,
02/12/2002 00:00:00,64.08002595,0.1,0.0001,0.00005,5.7,0.2,0.00062252,0.00003,1.041748783,0.01,,,,
03/13/2002 00:00:00,57.24572858,0.1,0.0001,0.00005,5.7,0.2,0.000450938,0.00003,1.016541295,0.01,,,,
04/06/2002 00:00:00,93.32284823,0.1,0.0001,0.00005,5.7,0.2,0.000619839,0.00003,1.21279206,0.01,,,,
05/10/2002 00:00:00,86.56352312,0.1,0.0001,0.00005,5.7,0.2,0.00073244,0.00003,1.371118589,0.01,,,,
06/08/2002 00:00:00,81.81729706,0.1,0.0001,0.00005,5.7,0.2,0.00090134,0.00003,1.396521951,0.01,,,,
07/02/2002 00:00:00,108.4661206,0.1,0.0001,0.00005,5.7,0.2,0.001013941,0.00003,1.282719108,0.01,,,,
08/07/2002 00:00:00,238.8643023,0.1,0.0001,0.00005,5.7,0.2,0.001440214,0.00003,1.409404439,0.01,,,,
09/11/2002 00:00:00,180.1782111,0.1,0.0001,0.00005,5.7,0.2,0.001475067,0.00003,1.415853217,0.01,,,,
10/09/2002 00:00:00,143.7947689,0.1,0.0001,0.00005,5.7,0.2,0.001070241,0.00003,1.390630662,0.01,,,,
10/30/2002 00:00:00,126.0666551,0.1,0.0001,0.00005,5.7,0.2,0.000665416,0.00003,1.460331701,0.01,,,,
12/01/2002 00:00:00,123.7191606,0.1,0.0001,0.00005,5.7,0.2,0.000724397,0.00003,1.422452667,0.01,,,,
12/27/2002 00:00:00,95.09359155,0.1,0.0001,0.00005,5.7,0.2,0.000665416,0.00003,1.42254307,0.01,,,,
01/31/2003 00:00:00,143.7947689,0.1,0.0001,0.00005,5.7,0.2,0.000528686,0.00003,1.277114096,0.01,,,,
04/12/2003 00:00:00,368.049602,0.1,0.0001,0.00005,5.7,0.2,0.000719035,0.00003,1.321667917,0.01,,,,
06/03/2003 00:00:00,347.869663,0.1,0.0001,0.00005,5.7,0.2,0.000836997,0.00003,1.315520484,0.01,,,,
08/13/2003 00:00:00,427.7721188,0.1,0.0001,0.00005,5.7,0.2,0.00123378,0.00003,1.290448601,0.01,,,,
10/10/2003 00:00:00,857.5378365,0.1,0.0001,0.00005,5.7,0.2,0.000922788,0.00003,1.505804623,0.01,,,,
12/04/2003 00:00:00,588.827365,0.1,0.0001,0.00005,5.7,0.2,0.000579625,0.00003,1.328824854,0.01,,,,
